block_id,corridor_id,start_time,end_time,duration,status,source,department,reason,plan_id
BLK-001,COR-005,2026-09-01 13:00:00,2026-09-01 14:13:24.376295,1.2234378597222222,APPROVED,Historical,Traction,Scheduled Maintenance,
BLK-002,COR-009,2026-09-04 18:00:00,2026-09-04 19:04:29.095821,1.0747488391666666,APPROVED,Manual,S&T,Scheduled Maintenance,
BLK-003,COR-005,2026-09-05 18:00:00,2026-09-05 21:28:49.457997,3.4804049991666663,APPROVED,Manual,Traction,Scheduled Maintenance,
BLK-004,COR-009,2026-09-03 09:00:00,2026-09-03 11:58:13.299718,2.970361032777778,APPROVED,Manual,Engineering,Scheduled Maintenance,
BLK-005,COR-010,2026-09-01 00:00:00,2026-09-01 03:19:03.211729,3.3175588136111114,APPROVED,Manual,S&T,Scheduled Maintenance,
BLK-006,COR-003,2026-09-03 12:00:00,2026-09-03 13:32:47.154924,1.5464319233333335,APPROVED,Manual,Traction,Scheduled Maintenance,
BLK-007,COR-004,2026-09-05 12:00:00,2026-09-05 14:16:50.785052,2.2807736255555553,APPROVED,Historical,Engineering,Scheduled Maintenance,
BLK-008,COR-009,2026-09-04 08:00:00,2026-09-04 11:27:48.592867,3.463498018611111,APPROVED,Historical,S&T,Scheduled Maintenance,
BLK-009,COR-012,2026-09-02 00:00:00,2026-09-02 03:41:10.607104,3.6862797511111114,APPROVED,Historical,S&T,Scheduled Maintenance,
BLK-010,COR-004,2026-09-01 13:00:00,2026-09-01 14:52:17.257130,1.8714603138888888,APPROVED,Manual,S&T,Scheduled Maintenance,
BLK-011,COR-007,2026-09-05 09:00:00,2026-09-05 10:29:45.991259,1.4961086830555557,APPROVED,Manual,S&T,Scheduled Maintenance,
BLK-012,COR-009,2026-09-02 11:00:00,2026-09-02 12:00:00.221594,1.0000615538888888,APPROVED,Historical,S&T,Scheduled Maintenance,
BLK-013,COR-006,2026-09-05 16:00:00,2026-09-05 17:10:48.116844,1.1800324566666667,APPROVED,Historical,Traction,Scheduled Maintenance,
BLK-014,COR-005,2026-09-02 06:00:00,2026-09-02 09:23:37.349796,3.3937082766666666,APPROVED,Manual,Engineering,Scheduled Maintenance,
BLK-015,COR-010,2026-09-04 19:00:00,2026-09-04 21:19:32.657891,2.3257383030555556,APPROVED,Historical,S&T,Scheduled Maintenance,
BLK-016,COR-007,2026-09-03 14:00:00,2026-09-03 16:40:21.053745,2.6725149291666663,APPROVED,Manual,S&T,Scheduled Maintenance,
BLK-017,COR-004,2026-09-03 04:00:00,2026-09-03 07:25:59.661772,3.433239381111111,APPROVED,Historical,Traction,Scheduled Maintenance,
BLK-018,COR-006,2026-09-05 04:00:00,2026-09-05 06:11:31.497696,2.1920826933333335,APPROVED,Manual,Engineering,Scheduled Maintenance,
BLK-019,COR-011,2026-09-04 09:00:00,2026-09-04 12:18:37.396107,3.3103878075,APPROVED,Manual,S&T,Scheduled Maintenance,
BLK-020,COR-008,2026-09-03 05:00:00,2026-09-03 07:18:04.637633,2.301288231388889,APPROVED,Historical,Traction,Scheduled Maintenance,
