defect_id,asset_id,department,severity,detected_date,description,failure_probability,safety_impact,operational_impact,status
DEF-001,AST-032,Engineering,Major,2026-08-13,Major defect on AST-032,0.49506032771944597,High,Medium,Open
DEF-002,AST-089,Engineering,Critical,2026-08-13,Critical defect on AST-089,0.8984598951509302,High,High,Open
DEF-003,AST-021,Engineering,Critical,2026-08-28,Critical defect on AST-021,0.6909825442702786,High,High,Under_Investigation
DEF-004,AST-040,S&T,Minor,2026-08-25,Minor defect on AST-040,0.2247791672583277,Low,Medium,Repair_Scheduled
DEF-005,AST-101,Engineering,Cosmetic,2026-08-18,Cosmetic defect on AST-101,0.04727167772760344,Low,Medium,Open
DEF-006,AST-086,Traction,Cosmetic,2026-08-11,Cosmetic defect on AST-086,0.08113039622741333,Low,Medium,Repair_Scheduled
DEF-007,AST-058,Engineering,Major,2026-08-11,Major defect on AST-058,0.3970501184734421,High,Medium,Repair_Scheduled
DEF-008,AST-045,Engineering,Critical,2026-08-09,Critical defect on AST-045,0.7114225702950422,High,High,Open
DEF-009,AST-068,Engineering,Cosmetic,2026-08-03,Cosmetic defect on AST-068,0.06526731800662625,Low,Medium,Open
DEF-010,AST-021,Engineering,Cosmetic,2026-08-30,Cosmetic defect on AST-021,0.09485480272719356,Low,Medium,Open
DEF-011,AST-029,Traction,Major,2026-08-09,Major defect on AST-029,0.37591752984023535,High,Medium,Under_Investigation
DEF-012,AST-059,Engineering,Minor,2026-08-27,Minor defect on AST-059,0.19012393134595157,Low,Medium,Repair_Scheduled
DEF-013,AST-065,Engineering,Major,2026-08-13,Major defect on AST-065,0.31140655447123644,High,Medium,Open
DEF-014,AST-024,Traction,Critical,2026-08-12,Critical defect on AST-024,0.7525737868342736,High,High,Repair_Scheduled
DEF-015,AST-007,S&T,Minor,2026-08-24,Minor defect on AST-007,0.2099232087437849,Low,Medium,Open
DEF-016,AST-038,Engineering,Critical,2026-08-23,Critical defect on AST-038,0.7543972759720534,High,High,Open
DEF-017,AST-050,Engineering,Critical,2026-08-09,Critical defect on AST-050,0.6766240454055659,High,High,Open
DEF-018,AST-114,Engineering,Major,2026-08-16,Major defect on AST-114,0.4423008329718642,High,Medium,Repair_Scheduled
DEF-019,AST-098,Engineering,Critical,2026-08-05,Critical defect on AST-098,0.7014802517983495,High,High,Under_Investigation
DEF-020,AST-089,Engineering,Major,2026-08-15,Major defect on AST-089,0.5784952598545731,High,Medium,Under_Investigation
DEF-021,AST-099,Engineering,Minor,2026-08-11,Minor defect on AST-099,0.15168632405836363,Low,Medium,Repair_Scheduled
DEF-022,AST-021,Engineering,Cosmetic,2026-08-10,Cosmetic defect on AST-021,0.014847238629822353,Low,Medium,Repair_Scheduled
