resource_id,name,department,capability,availability,quantity
RES-001,Resource-1,S&T,OHE_Team,Available,2
RES-002,Resource-2,S&T,Rail_Testing,Available,4
RES-003,Resource-3,S&T,Bridge_Inspector,Available,3
RES-004,Resource-4,S&T,Bridge_Inspector,Available,1
RES-005,Resource-5,Engineering,Point_Machine_Team,Available,5
RES-006,Resource-6,Engineering,Welding_Unit,Available,1
RES-007,Resource-7,Engineering,OHE_Team,Available,2
RES-008,Resource-8,S&T,Signal_Team,Available,4
RES-009,Resource-9,S&T,Track_Machine,Busy,4
RES-010,Resource-10,Engineering,Rail_Testing,Available,4
RES-011,Resource-11,Engineering,Bridge_Inspector,Busy,4
RES-012,Resource-12,Traction,Track_Machine,Available,2
RES-013,Resource-13,Traction,Point_Machine_Team,Busy,1
RES-014,Resource-14,Traction,Track_Gang,Available,2
RES-015,Resource-15,S&T,OHE_Team,Busy,2
RES-016,Resource-16,Engineering,OHE_Team,Available,1
RES-017,Resource-17,Engineering,Point_Machine_Team,Available,3
RES-018,Resource-18,Engineering,Track_Machine,Available,4
RES-019,Resource-19,S&T,Welding_Unit,Available,1
RES-020,Resource-20,S&T,Rail_Testing,Off_Duty,5
RES-021,Resource-21,Engineering,SCADA_Team,Available,5
RES-022,Resource-22,Engineering,Point_Machine_Team,Busy,2
RES-023,Resource-23,Traction,Bridge_Inspector,Available,3
RES-024,Resource-24,Engineering,Telecom_Team,Off_Duty,4
RES-025,Resource-25,Traction,Track_Gang,Available,1
RES-026,Resource-26,S&T,Point_Machine_Team,Available,3
RES-027,Resource-27,Traction,Telecom_Team,Available,5
RES-028,Resource-28,S&T,Bridge_Inspector,Available,1
RES-029,Resource-29,Traction,Track_Machine,Available,3
RES-030,Resource-30,Engineering,Bridge_Inspector,Busy,2
