train_id,train_number,train_type,origin,destination,corridor_id,arrival_time,departure_time,frequency,priority,occupancy,forecasted
TRN-001,37055,Express,Station A,Station B,COR-011,05:14,06:56,Daily,High,44.76449465786589,False
TRN-002,31996,Express,Station A,Station B,COR-011,20:43,22:42,Daily,High,90.41397877285765,False
TRN-003,67743,Suburban,Station A,Station B,COR-003,21:11,22:28,Daily,Medium,86.36736029636397,False
TRN-004,70044,Express,Station A,Station B,COR-010,07:58,09:40,Daily,High,41.51270993436573,False
TRN-005,65214,Rajdhani,Station A,Station B,COR-008,08:00,09:49,Daily,Critical,75.49895965149517,False
TRN-006,47985,Passenger,Station A,Station B,COR-003,17:55,18:29,Daily,Medium,93.27911794280001,False
TRN-007,10043,Passenger,Station A,Station B,COR-002,06:50,07:38,Daily,Medium,63.80455350586487,False
TRN-008,62790,Passenger,Station A,Station B,COR-005,15:02,16:51,Daily,Medium,56.1662578356917,False
TRN-009,49222,Shatabdi,Station A,Station B,COR-001,18:40,20:36,Daily,Critical,48.87021367168125,False
TRN-010,72834,Suburban,Station A,Station B,COR-005,18:26,19:32,Daily,Medium,75.97058976531366,False
TRN-011,58522,Goods,Station A,Station B,COR-005,12:31,14:23,Daily,Low,97.50103378008356,False
TRN-012,10188,Goods,Station A,Station B,COR-007,05:28,06:28,Daily,Low,96.03355094665608,True
TRN-013,37492,Goods,Station A,Station B,COR-001,19:04,21:37,Daily,Low,68.62678190064572,True
TRN-014,11987,Suburban,Station A,Station B,COR-008,19:21,20:13,Daily,Medium,59.82056765039688,False
TRN-015,64457,Express,Station A,Station B,COR-009,22:14,00:51,Daily,High,42.86331902201496,False
TRN-016,26721,Express,Station A,Station B,COR-012,14:34,16:03,Daily,High,81.42484845371277,False
TRN-017,46836,Shatabdi,Station A,Station B,COR-008,06:50,08:13,Daily,Critical,42.798092718674425,False
TRN-018,36932,Express,Station A,Station B,COR-012,06:33,08:58,Daily,High,62.88970060281713,False
TRN-019,29318,Shatabdi,Station A,Station B,COR-008,21:38,23:44,Daily,Critical,64.64580639344534,False
TRN-020,14430,Passenger,Station A,Station B,COR-004,09:16,10:29,Daily,Medium,82.07178817416508,False
TRN-021,86457,Goods,Station A,Station B,COR-002,18:47,19:58,Daily,Low,57.588618682880025,True
TRN-022,29202,Shatabdi,Station A,Station B,COR-009,06:21,07:05,Daily,Critical,75.08210227215913,False
TRN-023,23105,Suburban,Station A,Station B,COR-010,08:22,10:06,Daily,Medium,85.18500758039234,False
TRN-024,69487,Goods,Station A,Station B,COR-001,06:01,08:57,Daily,Low,79.38086166370859,False
TRN-025,77666,Goods,Station A,Station B,COR-005,21:28,23:51,Daily,Low,72.5020663899171,False
TRN-026,21882,Goods,Station A,Station B,COR-009,19:23,20:19,Daily,Low,51.06797442342695,True
TRN-027,10746,Goods,Station A,Station B,COR-009,07:20,08:10,Daily,Low,65.35495412223473,False
TRN-028,25473,Suburban,Station A,Station B,COR-009,08:15,09:55,Daily,Medium,82.02910060298879,False
TRN-029,44470,Rajdhani,Station A,Station B,COR-004,21:21,22:29,Daily,Critical,94.8452004222641,False
